timestamp_utc,threat_name,action,chest_id,file_path,ext,triage_hint
2026-03-02T01:47:51+00:00,JS:Includer-AJE [Trj],chest,24,D:\JCoder_Data\clean_source\_ingest_runs\20260301_184433_prep_ZippedDownloadsDumps\unknown\stackoverflow\jcoder_7z_x_t0dyhr_q41394.md,md,likely_false_positive_text_corpus
2026-03-02T01:47:47+00:00,JS:Includer-AJE [Trj],chest,23,D:\JCoder_Data\clean_source\unknown\stackoverflow\jcoder_7z_x_t0dyhr_q41394.md,md,likely_false_positive_text_corpus
2026-03-02T01:47:37+00:00,JS:CookieBomb-A [Trj],chest,22,D:\JCoder_Data\clean_source\_ingest_runs\20260301_184433_prep_ZippedDownloadsDumps\unknown\stackoverflow\jcoder_7z_x_t0dyhr_q40396.md,md,likely_false_positive_text_corpus
2026-03-02T01:47:34+00:00,JS:CookieBomb-A [Trj],chest,21,D:\JCoder_Data\clean_source\unknown\stackoverflow\jcoder_7z_x_t0dyhr_q40396.md,md,likely_false_positive_text_corpus
2026-03-02T01:47:09+00:00,PHP:Agent-OC [Trj],chest,20,D:\JCoder_Data\clean_source\_ingest_runs\20260301_184433_prep_ZippedDownloadsDumps\unknown\stackoverflow\jcoder_7z_x_t0dyhr_q36580.md,md,likely_false_positive_text_corpus
2026-03-02T01:47:07+00:00,PHP:Agent-OC [Trj],chest,19,D:\JCoder_Data\clean_source\unknown\stackoverflow\jcoder_7z_x_t0dyhr_q36580.md,md,likely_false_positive_text_corpus
2026-03-02T01:47:00+00:00,INF:AutoRun-BI [Wrm],chest,18,D:\JCoder_Data\clean_source\_ingest_runs\20260301_184433_prep_ZippedDownloadsDumps\unknown\stackoverflow\jcoder_7z_x_t0dyhr_q35254.md,md,likely_false_positive_text_corpus
2026-03-02T01:46:58+00:00,INF:AutoRun-BI [Wrm],chest,17,D:\JCoder_Data\clean_source\unknown\stackoverflow\jcoder_7z_x_t0dyhr_q35254.md,md,likely_false_positive_text_corpus
2026-03-02T01:46:50+00:00,JS:Decode-BRT [Trj],chest,16,D:\JCoder_Data\clean_source\_ingest_runs\20260301_184433_prep_ZippedDownloadsDumps\unknown\stackoverflow\jcoder_7z_x_t0dyhr_q33664.md,md,likely_false_positive_text_corpus
2026-03-02T01:46:46+00:00,JS:Decode-BRT [Trj],chest,15,D:\JCoder_Data\clean_source\unknown\stackoverflow\jcoder_7z_x_t0dyhr_q33664.md,md,likely_false_positive_text_corpus
2026-03-02T01:46:41+00:00,JS:Decode-BIV [Trj],chest,14,D:\JCoder_Data\clean_source\_ingest_runs\20260301_184433_prep_ZippedDownloadsDumps\unknown\stackoverflow\jcoder_7z_x_t0dyhr_q32875.md,md,likely_false_positive_text_corpus
2026-03-02T01:46:38+00:00,JS:Decode-BIV [Trj],chest,13,D:\JCoder_Data\clean_source\unknown\stackoverflow\jcoder_7z_x_t0dyhr_q32875.md,md,likely_false_positive_text_corpus
2026-03-02T01:46:27+00:00,PHP:Agent-OC [Trj],chest,12,D:\JCoder_Data\clean_source\_ingest_runs\20260301_184433_prep_ZippedDownloadsDumps\unknown\stackoverflow\jcoder_7z_x_t0dyhr_q29797.md,md,likely_false_positive_text_corpus
2026-03-02T01:46:22+00:00,PHP:Agent-OC [Trj],chest,11,D:\JCoder_Data\clean_source\unknown\stackoverflow\jcoder_7z_x_t0dyhr_q29797.md,md,likely_false_positive_text_corpus
2026-01-31T23:36:49+00:00,Win64:Malware-gen,chest,9,C:\Users\jerem\file_search\dist\FastFileSearch.exe,exe,potentially_real_binary_or_script
